#
# This is a mapping of cost center entries whose names do not end with "Lab"
# to their respective system groups, as found by various efforts.
#
Center for Biometric Analysis	adams-lab
Computational Sciences	compsci
Diagnostic Services	DNF
Genetic Engineering Technologies get-lab
Genetic Resource Science	genres
Genome Technologies	genometech
Information Technology	researshit
JAX Genomic Education	jax-edu
Microbial Genomic Services	mbiomecore
Microbiome Core	mbiomecore
Scientific Services	DNF
Single Cell Biology	robson-lab

